centerline_id	name	road_class	speed_limit	cans_out	cans_actual	cans_per	cansperout	cans_density	est_time	slope	length	backuponly	time_obs_format	time_obs_raw	sinuosityindex	time_obs_secs	predsecs	time_obs	difference	time_obs_days	time_obs_ex2
9649628557	9649628557.00000000_R	5	25	7	5	4.15	1	56.95	1.45171	6.68727	463.5675859	0	0:02:00	2	1.00142	120	74.79628	120	-45.20372	0.001388889	2
9639938257	9639938257.00000000_R	5	25	7	7	5.81	1	60.7	2.01417	-1.31384	608.9025394	0	0:02:14	2.14	1.00005	134	105.87145	128.4	-22.52855	0.001550926	2.233333333
9649227167	9649227167.00000000_R	5	25	7	7	5.81	1	76.35	1.95744	2.68551	484.079529	0	0:02:01	2.01	1.00007	121	100.98561	120.6	-19.61439	0.001400463	2.016666667
9639959248	9639959248.00000000_R	5	25	7	8	6.64	0.875	59.72	2.30708	-4.80726	707.2634323	0	0:01:44	1.44	1.30653	104	122.41472	86.4	36.01472	0.001203704	1.733333333
9647981972	9647981972.00000000_R	2	45	7	0	0	1	0	0.75821	0.6328	3002.518727	0	0:02:45	2.45	1.00135	165	34.11953	147	-112.88047	0.001909722	2.75
9628122992	9628122992.00000000_R	4	25	7	13	10.79	0.538461538	48.52	3.86968	5.65461	1414.775091	0	0:02:41	2.41	1.08975	161	213.57434	144.6	68.97434	0.001863426	2.683333333
9645511330	9645511330.00000000_R	4	25	7	6	4.98	1	30.09	1.96776	-2.5645	1052.835009	0	0:02:17	2.17	1.0376	137	110.55467	130.2	-19.64533	0.001585648	2.283333333
9668091308	9668091308.00000000_R	5	25	7	9	7.47	0.777777778	41.97	2.7485	-1.14807	1132.338292	0	0:01:39	1.39	1.01841	99	151.74627	83.4	68.34627	0.001145833	1.65
9659885751	9659885751.00000000_R	10	20	7	9	7.47	0.777777778	59.11	2.69058	12.31456	803.9261137	0	0:02:23	2.23	1.11825	143	143.41063	133.8	9.61063	0.001655093	2.383333333
9659872343	9659872343.00000000_R	10	20	7	9	7.47	0.777777778	34.14	3.02477	9.33839	1392.102798	0	0:02:46	2.46	1.66175	166	166.4331	147.6	18.8331	0.001921296	2.766666667
9659818389	9659818389.00000000_R	4	35	7	10	8.3	0.7	29.87	3.05591	1.2446	1767.635301	0	0:02:41	2.41	1.00036	161	180.26816	144.6	35.66816	0.001863426	2.683333333
9628136416	9628136416.00000000_R	5	25	7	14	11.62	0.5	43.14	4.25367	-2.62618	1713.51356	0	0:03:14	3.14	1.71679	194	237.96082	188.4	49.56082	0.00224537	3.233333333
9740810383	9740810383.00000000_R	5	25	7	8	6.64	0.875	25.37	2.74241	9.72986	1664.977722	0	0:03:13	3.13	1.5512	193	159.90168	187.8	-27.89832	0.002233796	3.216666667
9645222220	9645222220.00000000_R	10	20	7	7	5.81	1	43.4	2.22126	7.75011	851.6004848	0	0:02:16	2.16	1.13136	136	119.89025	129.6	-9.70975	0.001574074	2.266666667
9645138845	9645138845.00000000_R	10	20	7	16	13.28	0.4375	27.58	5.71142	4.0486	3062.784335	0	0:06:05	6.05	1.19171	365	320.67967	363	-42.32033	0.004224537	6.083333333
9649135555	9649135555.00000000_R	4	25	7	1	0.83	1	18.04	0.38122	6.15065	292.6521201	0	0:02:17	2.17	1.00177	137	17.33339	130.2	-112.86661	0.001585648	2.283333333
9647857080	9647857080.00000000_R	5	25	7	8	6.64	0.875	60.71	2.30184	3.01839	695.7343488	0	0:02:20	2.2	1.00437	140	121.96345	132	-10.03655	0.00162037	2.333333333
