centerline_id	name	road_class	speed_limit	cans_out	cans_actual	cans_per	cans_density	est_time	slope	length	backuponly	time_obs_format	time_obs_raw	sinuosityindex	time_obs	time_obs_days	time_obs_ex2	time_obs_ex22
9648086101	9648086101.00000000_L	4	35	7.47	9	7.47	73.27	2.44438	6.78407	648.5779887	0	0:00:00	0	1.01279	0	0	0	0
9648947329	9648947329.00000000_L	5	25	7.47	9	7.47	53.73	2.63579	-3.61833	884.3865746	0	0:00:00	0	1.36544	0	0	0	0
9638712400	9638712400.00000000_L	5	25	7.47	9	7.47	156.43	2.37188	-3.62103	303.7812865	0	0:00:00	0	1.02078	0	0	0	0
9628257401	9628257401.00000000_L	5	25	7.47	9	7.47	72.04	2.53365	9.39864	659.6701672	0	0:02:35	2.35	1.00803	141	0.001793981	155	2.583333333
9638228140	9638228140.00000000_L	5	25	7.47	9	7.47	54.69	2.62872	3.79826	868.8190018	0	0:00:00	0	1.00391	0	0	0	0
9649184008	9649184008.00000000_L	10	20	7.47	9	7.47	31.66	3.08671	-2.06513	1501.118359	0	0:00:00	0	1.1774	0	0	0	0
9628968847	9628968847.00000000_L	5	25	7.47	9	7.47	75.4	2.52027	4.60149	630.2304766	0	0:00:00	0	1.0039	0	0	0	0
9639919774	9639919774.00000000_L	5	25	7.47	9	7.47	62.65	2.57855	6.19692	758.4409228	0	0:03:12	3.12	1.00661	187.2	0.002222222	192	3.2
9638241740	9638241740.00000000_L	10	20	7.47	9	7.47	68.24	2.62943	4.452	696.3168477	0	0:00:00	0	1.00496	0	0	0	0
9638221404	9638221404.00000000_L	5	25	7.47	9	7.47	107.37	2.43498	9.71536	442.59794	0	0:00:00	0	1.00006	0	0	0	0
9638338424	9638338424.00000000_L	10	20	7.47	9	7.47	79.43	2.57373	2.00575	598.2787215	0	0:00:00	0	1.00419	0	0	0	0
9740591550	9740591550.00000000_L	5	25	7.47	9	7.47	17.88	3.44165	1.39241	2657.272471	0	0:00:00	0	1.35282	0	0	0	0
9617350542	9617350542.00000000_L	10	20	7.47	9	7.47	28.31	3.18763	-0.23827	1678.735229	0	0:00:00	0	1.13709	0	0	0	0
